LeadID,Age,Gender,Location,LeadSource,TimeSpent (minutes),PagesViewed,LeadStatus,EmailSent,DeviceType,ReferralSource,FormSubmissions,Downloads,CTR_ProductPage,ResponseTime (hours),FollowUpEmails,SocialMediaEngagement,PaymentHistory,Conversion (Target)
25,34,Female,Lahore,Social Media,53,4,Cold,8,Desktop,Twitter,2,0,0.4,5,3,124,Good,0
26,48,Male,Islamabad,Email,38,10,Cold,4,Tablet,Direct,0,3,0.5,24,5,149,Good,0
27,57,Female,Sialkot,Organic,52,15,Cold,6,Desktop,ReferralSite,5,0,0.4,11,10,28,No Payment,0
28,37,Male,Peshawar,Email,43,15,Cold,10,Desktop,ReferralSite,5,2,0.1,14,6,102,No Payment,0
29,20,Female,Peshawar,Referral,38,3,Cold,5,Tablet,Google,1,1,0.5,7,5,51,No Payment,0
30,30,Male,Gujranwala,Referral,7,7,Warm,5,Desktop,Direct,3,3,0.3,13,4,192,No Payment,0
31,47,Male,Multan,Referral,57,13,Warm,4,Desktop,Twitter,5,1,0.2,16,9,132,Good,0
32,41,Male,Multan,Referral,24,15,Cold,2,Tablet,Facebook,1,2,0.4,16,5,180,Good,0
33,37,Female,Karachi,Referral,23,10,Hot,1,Mobile,ReferralSite,3,0,0.2,24,3,121,No Payment,0
34,29,Male,Sialkot,Organic,7,8,Hot,8,Tablet,Google,3,0,0.3,2,6,52,No Payment,0
35,33,Female,Lahore,Social Media,25,6,Warm,6,Tablet,Facebook,0,1,0.1,22,2,74,No Payment,0
36,41,Male,Quetta,Email,51,12,Cold,5,Desktop,Google,0,1,0.7,9,3,88,No Payment,0
37,26,Female,Gujranwala,Referral,49,3,Hot,6,Desktop,Facebook,2,2,0.3,3,5,24,No Payment,0
38,25,Female,Faisalabad,Email,19,9,Hot,7,Mobile,ReferralSite,1,2,0.7,14,7,87,No Payment,0
39,44,Male,Islamabad,Social Media,58,8,Hot,4,Desktop,Direct,4,2,0.2,24,5,131,Good,0
40,26,Male,Faisalabad,Organic,51,5,Hot,8,Desktop,Twitter,2,1,0.7,23,9,48,No Payment,0
41,42,Female,Gujranwala,Email,7,3,Hot,0,Mobile,Twitter,5,2,0.4,20,2,112,No Payment,0
42,42,Male,Quetta,Email,52,5,Warm,0,Mobile,Google,1,3,0.6,7,2,53,Good,0
43,58,Male,Multan,Referral,14,2,Cold,2,Tablet,Google,1,2,0.4,4,4,185,No Payment,0
44,36,Male,Sialkot,Social Media,60,4,Hot,9,Desktop,Twitter,4,2,0.1,8,2,153,Good,0
45,22,Male,Multan,Email,13,11,Warm,1,Mobile,Google,0,0,0.5,2,8,159,Good,0
46,49,Female,Karachi,Email,54,7,Hot,10,Desktop,Facebook,4,2,0.3,16,7,115,No Payment,0
47,54,Male,Rawalpindi,Email,58,9,Cold,6,Desktop,Google,1,3,0.8,4,3,64,No Payment,0
48,27,Male,Karachi,Email,28,6,Cold,6,Mobile,Google,3,2,0.3,4,7,136,No Payment,0
49,44,Female,Rawalpindi,Email,21,15,Cold,5,Tablet,Twitter,0,2,0.2,19,1,109,No Payment,0
50,25,Female,Gujranwala,Social Media,50,6,Hot,5,Desktop,Direct,0,1,0.4,19,7,125,No Payment,0
51,55,Male,Gujranwala,Social Media,14,9,Cold,10,Desktop,Facebook,5,2,0.6,4,7,20,Good,0
52,38,Female,Faisalabad,Organic,46,6,Hot,0,Tablet,Twitter,5,1,0.3,21,8,151,No Payment,0
53,60,Male,Quetta,Email,41,4,Hot,5,Tablet,Direct,0,3,0.2,1,9,79,Good,0
54,59,Female,Karachi,Referral,36,12,Warm,1,Mobile,Google,1,2,0.1,24,10,52,Good,0
55,43,Male,Gujranwala,Email,31,13,Warm,0,Tablet,Facebook,3,2,0.6,21,5,40,No Payment,0
56,56,Male,Faisalabad,Organic,24,11,Hot,6,Mobile,ReferralSite,4,1,0.2,15,4,98,No Payment,0
57,32,Female,Peshawar,Email,53,11,Warm,10,Desktop,ReferralSite,3,3,0.5,10,1,23,Good,0
58,24,Female,Faisalabad,Organic,48,9,Hot,9,Tablet,Twitter,1,3,0.4,16,0,140,Good,0
59,22,Female,Lahore,Social Media,30,5,Hot,2,Mobile,Twitter,2,1,0.3,17,5,136,Good,0
60,34,Male,Multan,Referral,47,15,Cold,5,Tablet,Direct,5,0,0.6,20,4,180,No Payment,0
61,38,Female,Peshawar,Social Media,22,14,Hot,2,Tablet,Twitter,5,3,0.6,17,7,67,No Payment,0
62,25,Female,Peshawar,Email,44,12,Hot,7,Mobile,Twitter,0,3,0.6,9,10,54,No Payment,0
63,34,Male,Gujranwala,Organic,49,2,Hot,4,Tablet,Google,2,0,0.5,17,9,179,Good,0
64,26,Male,Faisalabad,Organic,38,10,Cold,1,Desktop,ReferralSite,4,1,0.5,20,7,151,Good,0
65,44,Male,Peshawar,Email,44,8,Warm,0,Mobile,Facebook,5,0,0.7,21,5,115,Good,0
66,37,Male,Karachi,Organic,30,3,Cold,6,Tablet,ReferralSite,3,0,0.1,21,4,184,No Payment,0
67,49,Male,Peshawar,Email,27,2,Warm,7,Mobile,ReferralSite,0,0,0.7,1,7,128,Good,0
68,60,Female,Multan,Organic,14,4,Warm,0,Mobile,Twitter,5,0,0.4,10,9,129,No Payment,0
69,43,Female,Multan,Referral,31,11,Cold,8,Mobile,Direct,1,0,0.5,18,4,67,No Payment,0
70,30,Female,Gujranwala,Referral,20,8,Cold,6,Mobile,Facebook,3,0,0.6,21,1,89,Good,0
71,43,Female,Sialkot,Organic,58,14,Warm,3,Mobile,Google,2,3,0.6,1,4,130,No Payment,0
72,42,Male,Faisalabad,Referral,44,8,Warm,5,Desktop,Direct,2,0,0.8,12,10,27,Good,0
73,33,Female,Islamabad,Referral,12,3,Cold,6,Mobile,Google,0,2,0.3,21,8,147,No Payment,0
74,37,Male,Karachi,Social Media,15,13,Hot,5,Desktop,ReferralSite,2,3,0.8,17,0,200,Good,0
75,24,Female,Islamabad,Referral,39,14,Cold,5,Desktop,Google,2,1,0.3,1,8,31,Good,0
76,58,Male,Peshawar,Referral,7,14,Hot,4,Mobile,Google,0,0,0.2,15,10,147,No Payment,0
77,60,Female,Karachi,Email,7,2,Warm,1,Tablet,Google,1,3,0.1,4,1,181,Good,0
78,30,Male,Multan,Organic,46,2,Hot,4,Tablet,Facebook,1,0,0.6,13,9,151,Good,0
79,54,Female,Gujranwala,Email,22,12,Warm,5,Mobile,Facebook,2,0,0.6,24,8,39,No Payment,0
80,35,Female,Faisalabad,Email,43,13,Hot,4,Mobile,ReferralSite,0,0,0.5,16,9,52,No Payment,0
81,30,Female,Faisalabad,Referral,44,4,Warm,6,Mobile,Direct,3,0,0.3,14,2,145,Good,0
82,49,Male,Karachi,Email,52,11,Warm,8,Desktop,Facebook,5,0,0.8,18,8,176,Good,0
83,44,Male,Peshawar,Social Media,58,13,Cold,4,Desktop,Direct,3,3,0.6,6,8,70,Good,0
84,37,Female,Multan,Email,10,10,Cold,3,Desktop,Twitter,5,1,0.3,2,3,89,No Payment,0
85,60,Female,Peshawar,Email,42,3,Warm,2,Mobile,Facebook,0,3,0.5,15,0,190,Good,0
86,55,Male,Rawalpindi,Email,43,5,Hot,1,Mobile,ReferralSite,5,1,0.4,6,1,152,Good,0
87,34,Female,Karachi,Email,18,13,Hot,5,Mobile,ReferralSite,2,2,0.6,22,6,84,Good,0
88,40,Male,Islamabad,Email,45,9,Hot,4,Mobile,Google,0,0,0.7,14,8,146,No Payment,0
89,23,Male,Karachi,Email,13,15,Warm,2,Mobile,Facebook,3,3,0.1,17,5,185,Good,0
90,34,Female,Sialkot,Organic,40,15,Hot,2,Tablet,Google,3,3,0.6,6,3,149,Good,0
91,22,Male,Faisalabad,Organic,60,14,Warm,3,Mobile,ReferralSite,3,0,0.7,3,0,68,No Payment,0
92,40,Male,Islamabad,Organic,6,13,Cold,9,Mobile,Twitter,2,0,0.8,17,9,98,No Payment,1
93,45,Female,Sialkot,Referral,48,11,Hot,8,Tablet,Direct,0,2,0.2,1,4,137,No Payment,0
94,37,Female,Karachi,Referral,39,14,Hot,8,Tablet,Facebook,1,1,0.2,16,6,171,Good,1
95,24,Male,Karachi,Organic,14,14,Hot,4,Tablet,Direct,0,1,0.6,16,1,49,No Payment,0
96,33,Male,Sialkot,Referral,30,11,Warm,7,Mobile,Google,2,3,0.2,2,2,85,No Payment,0
97,56,Male,Gujranwala,Email,18,4,Hot,5,Tablet,Google,0,0,0.7,20,8,96,No Payment,0
98,40,Female,Quetta,Email,53,10,Warm,7,Desktop,ReferralSite,3,3,0.7,12,6,26,Good,0
99,33,Male,Sialkot,Email,7,9,Hot,8,Desktop,Direct,5,3,0.6,9,5,55,No Payment,0
100,51,Female,Karachi,Social Media,41,12,Cold,8,Tablet,Twitter,2,3,0.3,18,2,83,No Payment,0
101,45,Female,Rawalpindi,Email,23,6,Warm,5,Desktop,ReferralSite,5,1,0.7,7,7,67,Good,0
102,49,Male,Rawalpindi,Referral,60,15,Hot,1,Mobile,ReferralSite,2,1,0.7,23,10,37,No Payment,0
103,29,Female,Karachi,Referral,17,8,Warm,5,Desktop,Direct,3,2,0.3,22,10,73,Good,0
104,36,Male,Lahore,Organic,33,13,Hot,4,Tablet,Direct,3,0,0.3,3,7,87,No Payment,1
105,28,Female,Quetta,Email,18,15,Warm,2,Mobile,Facebook,2,1,0.8,1,7,28,Good,0
106,35,Male,Multan,Email,35,14,Warm,5,Desktop,Direct,4,0,0.6,23,0,147,Good,0
107,55,Male,Quetta,Referral,31,12,Warm,3,Mobile,Google,3,3,0.6,5,3,164,Good,0
108,54,Female,Multan,Email,8,11,Hot,6,Desktop,Direct,4,2,0.3,13,3,178,No Payment,0
109,36,Female,Islamabad,Referral,10,11,Cold,3,Tablet,Direct,2,0,0.6,9,10,188,Good,0
110,57,Male,Peshawar,Social Media,22,6,Hot,2,Desktop,Google,5,2,0.5,21,0,185,Good,0
111,47,Male,Quetta,Organic,40,6,Warm,7,Tablet,Facebook,3,1,0.4,15,0,82,No Payment,0
112,57,Female,Quetta,Organic,17,6,Cold,3,Desktop,Google,4,2,0.6,4,5,79,Good,0
113,45,Male,Sialkot,Email,30,15,Hot,10,Tablet,Twitter,4,3,0.2,3,4,176,Good,0
114,43,Female,Faisalabad,Email,7,2,Warm,7,Mobile,ReferralSite,3,3,0.2,19,0,103,No Payment,0
115,34,Male,Sialkot,Referral,21,2,Hot,8,Tablet,Direct,4,2,0.3,24,2,111,No Payment,0
116,28,Female,Rawalpindi,Email,23,12,Cold,2,Mobile,ReferralSite,1,1,0.6,20,2,110,No Payment,0
117,52,Female,Peshawar,Email,49,2,Hot,8,Mobile,Google,2,1,0.8,4,0,63,No Payment,0
118,51,Female,Faisalabad,Email,56,10,Warm,4,Tablet,ReferralSite,0,1,0.8,15,6,112,No Payment,0
119,25,Female,Karachi,Referral,53,12,Cold,1,Mobile,Google,4,1,0.8,4,4,29,Good,0
120,23,Male,Gujranwala,Referral,10,7,Warm,9,Tablet,Facebook,0,2,0.3,12,10,178,Good,0
121,27,Female,Sialkot,Social Media,42,6,Warm,5,Desktop,Facebook,2,2,0.1,22,6,59,Good,0
122,29,Female,Rawalpindi,Social Media,21,6,Warm,9,Tablet,Twitter,1,0,0.4,3,2,22,Good,0
123,60,Male,Faisalabad,Social Media,36,4,Cold,3,Mobile,Direct,2,2,0.5,13,3,191,Good,0
124,30,Male,Rawalpindi,Organic,50,12,Hot,6,Tablet,Facebook,2,1,0.5,8,4,89,No Payment,0
125,47,Female,Multan,Email,26,5,Cold,1,Tablet,Direct,3,2,0.4,17,9,135,Good,0
126,58,Male,Quetta,Organic,39,7,Cold,8,Tablet,Direct,4,2,0.5,19,3,60,Good,0
127,24,Male,Gujranwala,Social Media,33,10,Warm,9,Desktop,Facebook,3,1,0.6,2,3,168,No Payment,0
128,44,Male,Lahore,Email,29,5,Hot,4,Desktop,Direct,5,3,0.1,22,6,42,Good,0
129,44,Male,Faisalabad,Referral,31,14,Cold,9,Desktop,Facebook,2,0,0.6,4,2,193,Good,0
130,58,Female,Islamabad,Email,39,9,Cold,0,Desktop,Facebook,4,2,0.8,3,10,48,No Payment,0
131,49,Female,Karachi,Social Media,25,10,Cold,3,Mobile,ReferralSite,3,1,0.5,14,7,38,No Payment,0
132,53,Male,Rawalpindi,Referral,41,6,Hot,9,Tablet,Twitter,5,1,0.7,4,4,140,Good,0
133,36,Female,Quetta,Referral,55,12,Cold,3,Mobile,Twitter,4,3,0.2,17,3,193,Good,0
134,55,Male,Karachi,Email,27,5,Warm,9,Desktop,Facebook,0,0,0.7,19,6,148,Good,0
135,20,Female,Karachi,Organic,57,11,Cold,1,Mobile,Twitter,2,0,0.4,11,8,129,Good,0
136,27,Male,Rawalpindi,Email,42,10,Hot,2,Tablet,Twitter,2,0,0.3,17,4,23,No Payment,0
137,54,Male,Lahore,Email,34,12,Cold,3,Mobile,Google,0,0,0.3,14,4,75,Good,0
138,37,Male,Lahore,Email,56,13,Cold,6,Mobile,Direct,3,2,0.4,3,9,152,Good,1
139,41,Female,Multan,Organic,11,13,Cold,5,Tablet,Google,3,0,0.2,4,10,38,Good,0
140,27,Female,Quetta,Referral,33,8,Cold,5,Tablet,Facebook,4,2,0.5,9,7,188,Good,0
141,38,Male,Multan,Email,39,6,Warm,8,Mobile,Twitter,2,1,0.3,15,5,147,No Payment,0
142,47,Male,Islamabad,Email,41,3,Warm,8,Desktop,Facebook,1,0,0.8,10,8,128,No Payment,0
143,30,Male,Faisalabad,Email,42,7,Cold,3,Desktop,ReferralSite,5,0,0.4,22,6,73,No Payment,0
144,49,Male,Sialkot,Social Media,26,14,Warm,2,Tablet,Google,5,3,0.4,10,7,47,No Payment,0
145,20,Male,Lahore,Organic,18,5,Warm,8,Desktop,Google,2,1,0.5,7,3,35,No Payment,0
146,36,Male,Lahore,Email,9,7,Warm,4,Tablet,Facebook,1,2,0.1,17,0,161,No Payment,0
147,52,Male,Faisalabad,Social Media,8,2,Hot,6,Tablet,ReferralSite,4,2,0.1,9,0,109,Good,0
148,31,Male,Islamabad,Referral,54,11,Warm,4,Mobile,Facebook,2,0,0.2,7,6,157,No Payment,0
149,52,Male,Lahore,Organic,18,9,Warm,3,Desktop,Google,2,2,0.4,20,0,69,Good,0
150,26,Male,Karachi,Email,11,2,Warm,5,Desktop,Twitter,0,3,0.3,22,4,119,Good,0
151,60,Male,Sialkot,Referral,51,14,Hot,2,Desktop,Facebook,1,1,0.8,6,9,122,Good,0
152,39,Female,Multan,Organic,42,4,Warm,4,Tablet,ReferralSite,0,0,0.4,7,7,38,No Payment,0
153,60,Female,Islamabad,Email,34,11,Warm,2,Mobile,Facebook,3,1,0.4,18,10,197,Good,0
154,52,Female,Rawalpindi,Referral,19,2,Cold,7,Mobile,ReferralSite,2,1,0.3,17,9,172,No Payment,0
155,58,Female,Lahore,Social Media,25,5,Warm,4,Tablet,ReferralSite,4,0,0.2,16,4,44,No Payment,0
156,32,Female,Lahore,Organic,22,8,Hot,5,Tablet,Direct,4,2,0.6,11,6,122,Good,0
157,29,Male,Sialkot,Organic,49,10,Warm,10,Tablet,Direct,4,3,0.5,14,0,71,No Payment,0
158,43,Female,Lahore,Email,41,4,Cold,6,Mobile,Twitter,3,1,0.8,21,4,81,No Payment,0
159,30,Female,Lahore,Email,18,9,Hot,1,Mobile,Google,3,3,0.7,15,5,27,Good,0
160,54,Female,Quetta,Referral,12,2,Cold,0,Desktop,ReferralSite,4,1,0.8,3,9,162,Good,0
161,53,Female,Peshawar,Social Media,54,3,Warm,3,Desktop,Twitter,5,2,0.7,15,5,53,No Payment,0
162,20,Male,Lahore,Referral,49,13,Cold,10,Tablet,Direct,4,0,0.3,14,4,75,Good,0
163,58,Female,Quetta,Email,16,7,Warm,8,Tablet,Direct,2,2,0.3,1,10,143,No Payment,0
164,40,Male,Lahore,Email,60,7,Hot,5,Desktop,Direct,4,1,0.4,23,8,97,No Payment,0
165,51,Male,Faisalabad,Social Media,44,4,Cold,6,Tablet,Twitter,4,0,0.2,16,0,27,No Payment,0
166,21,Male,Gujranwala,Social Media,13,10,Cold,4,Desktop,Google,1,0,0.3,6,1,71,Good,0
167,27,Female,Quetta,Organic,22,10,Cold,4,Tablet,ReferralSite,5,2,0.8,24,2,158,Good,0
168,43,Female,Rawalpindi,Email,21,12,Warm,0,Mobile,ReferralSite,0,3,0.7,3,5,191,No Payment,0
169,39,Female,Lahore,Email,24,5,Hot,6,Desktop,Google,1,2,0.6,3,10,121,No Payment,0
170,35,Male,Karachi,Organic,47,6,Cold,1,Tablet,Direct,1,0,0.8,12,7,107,No Payment,0
171,23,Female,Islamabad,Email,15,9,Cold,3,Tablet,Google,3,3,0.7,23,10,125,No Payment,0
172,35,Male,Rawalpindi,Organic,55,10,Cold,3,Desktop,ReferralSite,4,0,0.3,5,7,101,No Payment,0
173,56,Male,Faisalabad,Referral,42,14,Cold,6,Mobile,Google,4,0,0.7,20,1,114,Good,0
174,25,Male,Multan,Email,36,15,Warm,5,Tablet,ReferralSite,1,2,0.6,6,10,200,No Payment,0
175,25,Male,Karachi,Organic,57,14,Hot,10,Mobile,Direct,5,3,0.4,1,8,156,No Payment,1
176,51,Female,Gujranwala,Organic,8,11,Cold,2,Desktop,Twitter,5,2,0.4,9,6,176,Good,0
177,24,Female,Gujranwala,Social Media,23,8,Hot,2,Desktop,ReferralSite,3,3,0.5,12,1,157,No Payment,0
178,54,Female,Multan,Referral,21,10,Hot,8,Tablet,Facebook,1,1,0.8,8,6,141,No Payment,0
179,28,Male,Lahore,Organic,15,8,Warm,8,Tablet,Google,2,1,0.3,3,5,188,No Payment,0
180,28,Male,Sialkot,Referral,15,15,Hot,4,Desktop,Facebook,3,1,0.4,14,0,129,No Payment,0
181,50,Male,Islamabad,Email,50,14,Cold,10,Desktop,Twitter,3,2,0.6,2,9,107,Good,1
182,55,Female,Quetta,Email,60,10,Warm,5,Desktop,Facebook,2,2,0.2,22,8,111,No Payment,0
183,30,Female,Multan,Social Media,17,6,Cold,9,Desktop,ReferralSite,1,3,0.6,10,0,25,Good,0
184,36,Female,Peshawar,Organic,56,7,Cold,6,Tablet,Google,3,0,0.6,4,7,124,No Payment,0
185,53,Male,Islamabad,Email,60,13,Hot,5,Tablet,Facebook,2,1,0.5,14,7,164,Good,0
186,58,Male,Faisalabad,Email,58,10,Hot,4,Desktop,Twitter,3,2,0.6,11,10,101,No Payment,0
187,47,Male,Multan,Referral,21,11,Warm,5,Mobile,Direct,0,3,0.5,2,1,183,Good,0
188,33,Female,Islamabad,Social Media,51,7,Warm,1,Mobile,Google,3,3,0.4,4,5,125,Good,0
189,54,Female,Islamabad,Organic,23,11,Cold,3,Desktop,Facebook,3,2,0.1,16,8,186,No Payment,0
190,32,Female,Karachi,Organic,21,11,Hot,5,Desktop,Google,5,3,0.6,10,2,117,Good,0
191,39,Female,Peshawar,Referral,21,2,Warm,5,Desktop,Twitter,5,2,0.4,8,3,128,No Payment,0
192,45,Male,Gujranwala,Referral,58,11,Hot,6,Mobile,ReferralSite,0,1,0.4,12,0,91,Good,0
193,43,Female,Gujranwala,Referral,30,8,Hot,1,Desktop,Twitter,2,1,0.1,7,4,104,No Payment,0
194,48,Male,Lahore,Referral,50,15,Cold,7,Desktop,Facebook,3,1,0.4,11,6,97,No Payment,1
195,53,Female,Multan,Email,45,5,Hot,2,Mobile,Direct,3,1,0.3,10,0,126,No Payment,0
196,48,Female,Gujranwala,Organic,42,6,Warm,3,Desktop,ReferralSite,2,3,0.3,13,5,148,No Payment,0
197,27,Male,Faisalabad,Organic,25,4,Warm,2,Desktop,Direct,0,1,0.6,9,10,82,No Payment,0
198,35,Female,Peshawar,Referral,8,4,Cold,0,Tablet,ReferralSite,0,0,0.6,20,0,104,Good,0
199,34,Female,Rawalpindi,Email,51,8,Warm,4,Desktop,Twitter,2,1,0.5,22,4,121,Good,0
200,24,Male,Lahore,Social Media,36,10,Hot,6,Tablet,Google,0,1,0.2,11,10,171,Good,0
201,41,Female,Multan,Email,56,4,Hot,9,Tablet,Direct,4,2,0.3,10,4,21,No Payment,0
202,21,Female,Multan,Referral,34,11,Cold,7,Desktop,Facebook,0,3,0.5,20,2,72,No Payment,0
203,57,Male,Rawalpindi,Organic,53,14,Cold,4,Mobile,Direct,4,3,0.5,14,0,184,No Payment,0
204,55,Male,Multan,Social Media,57,13,Cold,7,Mobile,Google,2,3,0.5,9,8,93,No Payment,0
205,34,Male,Islamabad,Organic,47,9,Cold,9,Mobile,ReferralSite,3,1,0.5,23,8,138,Good,0
206,57,Female,Sialkot,Referral,29,4,Warm,6,Tablet,Facebook,2,3,0.7,2,1,125,Good,0
207,34,Male,Peshawar,Email,54,12,Hot,4,Desktop,Facebook,5,1,0.7,6,8,55,No Payment,0
208,20,Male,Lahore,Social Media,60,2,Warm,4,Tablet,Google,4,3,0.4,1,9,148,No Payment,0
209,24,Female,Lahore,Social Media,27,7,Hot,0,Mobile,Facebook,4,1,0.4,19,6,45,Good,0
210,60,Female,Quetta,Referral,21,12,Cold,2,Desktop,Facebook,2,1,0.5,20,1,146,Good,0
211,23,Male,Multan,Organic,10,13,Warm,7,Desktop,Direct,1,0,0.4,1,7,144,No Payment,0
212,34,Female,Lahore,Referral,38,5,Hot,2,Mobile,Facebook,1,1,0.3,22,0,83,Good,0
213,24,Female,Multan,Organic,43,2,Warm,2,Mobile,Facebook,1,3,0.6,16,1,103,No Payment,0
214,22,Male,Karachi,Email,55,8,Cold,0,Tablet,Facebook,1,0,0.4,6,8,107,No Payment,0
215,41,Male,Multan,Organic,19,8,Warm,2,Desktop,Twitter,5,3,0.8,8,7,79,No Payment,0
216,24,Female,Lahore,Organic,16,9,Hot,5,Mobile,Direct,2,2,0.1,18,9,127,Good,0
217,52,Female,Karachi,Referral,48,5,Warm,10,Desktop,Twitter,3,3,0.4,22,1,164,Good,0
218,35,Female,Quetta,Organic,55,12,Hot,8,Desktop,Direct,4,1,0.7,15,4,152,No Payment,0
219,37,Male,Peshawar,Referral,46,6,Hot,1,Mobile,Twitter,5,0,0.2,10,3,49,Good,0
220,51,Male,Quetta,Social Media,27,8,Cold,3,Desktop,Facebook,5,1,0.3,1,8,137,No Payment,0
221,33,Female,Faisalabad,Social Media,53,6,Cold,6,Tablet,Google,4,1,0.3,24,1,35,Good,0
222,54,Male,Rawalpindi,Social Media,14,9,Hot,7,Tablet,Twitter,0,3,0.3,6,3,45,Good,0
223,28,Female,Sialkot,Email,28,2,Cold,1,Desktop,Twitter,1,1,0.7,3,2,110,Good,0
224,56,Female,Rawalpindi,Referral,56,8,Warm,6,Desktop,ReferralSite,4,1,0.2,20,0,190,No Payment,0
225,56,Male,Rawalpindi,Referral,55,2,Warm,10,Desktop,ReferralSite,3,1,0.4,18,8,67,Good,0
226,50,Male,Lahore,Referral,5,5,Cold,9,Mobile,Direct,5,3,0.7,1,9,32,Good,0
227,35,Male,Gujranwala,Email,32,6,Hot,3,Desktop,Google,2,3,0.2,20,6,84,Good,0
228,50,Female,Rawalpindi,Referral,42,7,Hot,9,Mobile,Google,1,2,0.2,7,5,196,Good,0
229,46,Male,Multan,Social Media,21,10,Cold,10,Tablet,Facebook,0,2,0.7,12,4,107,No Payment,0
230,32,Male,Gujranwala,Referral,9,14,Hot,10,Desktop,Direct,5,3,0.7,11,1,131,Good,0
231,26,Male,Gujranwala,Organic,41,15,Hot,3,Tablet,Twitter,5,0,0.7,13,8,143,Good,0
232,26,Male,Karachi,Referral,44,10,Warm,1,Desktop,Direct,2,0,0.5,20,1,153,No Payment,0
233,47,Female,Rawalpindi,Referral,39,7,Cold,7,Desktop,ReferralSite,3,2,0.7,9,3,66,Good,0
234,42,Male,Islamabad,Organic,35,13,Warm,10,Tablet,Google,4,1,0.4,8,6,180,No Payment,1
235,47,Female,Islamabad,Referral,57,6,Cold,6,Mobile,ReferralSite,1,1,0.6,23,10,113,No Payment,0
236,46,Male,Islamabad,Social Media,59,2,Warm,7,Mobile,Facebook,5,2,0.5,16,5,179,Good,0
237,49,Female,Karachi,Email,14,10,Cold,1,Tablet,ReferralSite,3,3,0.3,1,9,98,No Payment,0
238,23,Male,Sialkot,Email,42,9,Hot,10,Tablet,ReferralSite,2,0,0.6,14,5,192,No Payment,0
239,26,Male,Multan,Organic,46,3,Warm,3,Desktop,Google,5,0,0.2,19,8,43,Good,0
240,23,Male,Islamabad,Email,56,10,Warm,6,Mobile,Facebook,5,2,0.6,1,3,94,No Payment,0
241,45,Male,Karachi,Referral,33,11,Cold,8,Tablet,Direct,0,3,0.3,19,1,110,Good,0
242,41,Male,Sialkot,Organic,17,3,Warm,8,Tablet,Direct,5,2,0.7,6,7,109,No Payment,0
243,26,Male,Karachi,Social Media,37,5,Hot,1,Tablet,Twitter,3,2,0.6,9,10,129,No Payment,0
